Budget: 100
Time: 09:00 - 17:00 (total of 480 minutes)
Genre: thrill
Food: yes
Starting coordinates: (37.423580, -122.170733)
         63420231 function calls (63395977 primitive calls) in 159.559 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _structures.py:49(NegativeInfinity)
        1    0.034    0.034    1.503    1.503 _util.py:1(<module>)
       18    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       18    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       18    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       74    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       18    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       36    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       13    0.000    0.000    0.000    0.000 abc.py:105(register)
    20/16    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
       43    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       20    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       68    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 adapters.py:45(BaseAdapter)
        1    0.000    0.000    0.000    0.000 adapters.py:58(HTTPAdapter)
        1    0.000    0.000    0.000    0.000 adapters.py:9(<module>)
        1    0.000    0.000    0.000    0.000 aes.py:5(<module>)
        1    0.004    0.004    0.004    0.004 api.py:1(<module>)
        1    0.019    0.019    0.051    0.051 api.py:12(<module>)
        1    0.000    0.000    0.000    0.000 api.py:18(FFIError)
      138    0.000    0.000    0.000    0.000 api.py:183(sizeof)
       13    0.000    0.000    0.000    0.000 api.py:193(alignof)
       30    0.000    0.000    0.000    0.000 api.py:201(offsetof)
        1    0.000    0.000    0.000    0.000 api.py:21(CDefError)
        1    0.000    0.000    0.000    0.000 api.py:263(cast)
        1    0.000    0.000    0.000    0.000 api.py:30(FFI)
      280    0.001    0.000    0.009    0.000 api.py:370(_get_cached_btype)
       30    0.000    0.000    0.000    0.000 api.py:443(_typeoffsetof)
        1    0.032    0.032    0.205    0.205 api.py:48(__init__)
        1    0.000    0.000    0.878    0.878 api.py:94(cdef)
        1    0.000    0.000    0.000    0.000 arcgis.py:20(ArcGIS)
        1    0.005    0.005    0.009    0.009 arcgis.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        2    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 asn1.py:5(<module>)
        1    0.000    0.000    0.000    0.000 ast_transforms.py:10(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:37(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:44(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 auth.py:55(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:62(HTTPDigestAuth)
        1    0.009    0.009    0.009    0.009 auth.py:8(<module>)
        1    0.000    0.000    0.000    0.000 baidu.py:19(Baidu)
        1    0.000    0.000    0.000    0.000 baidu.py:3(<module>)
       12    0.000    0.000    0.000    0.000 base.py:119(subtype)
        1    0.000    0.000    0.000    0.000 base.py:135(prettyIn)
        1    0.002    0.002    0.002    0.002 base.py:169(AbstractConstructedAsn1Item)
       15    0.000    0.000    0.000    0.000 base.py:172(__init__)
       69    0.000    0.000    0.000    0.000 base.py:18(__init__)
        1    0.022    0.022    0.034    0.034 base.py:2(<module>)
